Record_ID,Employee_ID,Division,AI_Training_Track,Baseline_Skill_Score,Post_Training_Skill_Score,AI_Tool_Class,Use_Case_Name,Academic_Partner,Collaboration_Program,Implementation_Stage,Efficiency_Gain_Pct,Estimated_Value_AED,Adoption_Rate_Pct
REC-0155,EMP-79163,Power & Water Planning,AI Literacy,13.0,98.6,Predictive Machine Learning,Grid Expansion Planner,RIT Dubai,Sponsored Capstone,Ideation,3.4,5100.0,0.0
REC-0156,EMP-35939,Business Development & Execution,AI Literacy,17.7,92.1,Generative AI (LLMs),AI Bid Evaluator,RIT Dubai,Joint R&D Lab,Optimizing,29.8,66000.0,83.1
REC-0157,EMP-58925,Water & Civil,Deep Technical & LLMOps,50.6,74.0,Computer Vision,Structural Crack Inspection,None,None,Ideation,8.3,5000.0,0.0
REC-0158,EMP-52941,Distribution Power,Deep Technical & LLMOps,24.4,87.9,Predictive Machine Learning,Grid Recloser Optimizer,None,None,Fully Deployed,31.0,351500.0,88.1
REC-0159,EMP-31834,Billing,AI for Leaders,45.4,95.2,Predictive Machine Learning,Billing Anomaly Detection,RIT Dubai,Joint R&D Lab,Ideation,6.9,56900.0,0.0
REC-0160,EMP-28047,Power & Water Planning,Deep Technical & LLMOps,32.1,87.8,Predictive Machine Learning,Smart Load Forecasting,None,None,UAT & Testing,18.7,84500.0,41.6
REC-0161,EMP-36105,Billing,AI for Leaders,33.3,81.3,Predictive Machine Learning,Revenue Risk Profiler,RIT Dubai,Sponsored Capstone,Development,7.3,129600.0,1.1
REC-0162,EMP-85766,Transmission Power,AI for Leaders,41.0,60.2,Computer Vision,Overhead Line Monitoring,MBZUAI,Sponsored Capstone,Ideation,2.6,6300.0,0.0
REC-0163,EMP-25707,Business Development & Execution,AI Literacy,54.9,86.8,Generative AI (LLMs),AI Procurement Sandbox,MBZUAI,Reverse Hackathon,Ideation,5.0,9900.0,0.0
REC-0164,EMP-31976,Business Development & Execution,Deep Technical & LLMOps,10.2,73.7,Generative AI (LLMs),AI Bid Evaluator,MBZUAI,Reverse Hackathon,UAT & Testing,20.4,133000.0,12.3
REC-0165,EMP-54262,Finance,Deep Technical & LLMOps,39.2,88.8,Predictive Machine Learning,Supplier Risk Analysis,None,None,UAT & Testing,22.2,43300.0,51.4
REC-0166,EMP-33776,Distribution Power,Deep Technical & LLMOps,61.8,89.3,Agentic AI Workflows,LV Power Restoration,None,None,Ideation,6.1,8700.0,0.0
REC-0167,EMP-40080,Water & Civil,AI for Leaders,38.3,92.2,Computer Vision,Structural Crack Inspection,Heriot-Watt University,Joint R&D Lab,Optimizing,37.4,118100.0,80.2
REC-0168,EMP-76842,Billing,Deep Technical & LLMOps,29.4,56.8,Predictive Machine Learning,Billing Anomaly Detection,None,None,Development,9.7,56000.0,8.4
REC-0169,EMP-71373,Legal Affairs,AI Literacy,50.7,99.3,Generative AI (LLMs),NDA Auto-Review Agent,MBZUAI,Reverse Hackathon,UAT & Testing,27.3,83000.0,32.0
REC-0170,EMP-16776,Power & Water Planning,Deep Technical & LLMOps,68.2,96.4,Predictive Machine Learning,Digital Twin Simulation,None,None,Development,17.8,22100.0,6.0
REC-0171,EMP-65016,Power & Water Planning,Deep Technical & LLMOps,31.0,97.8,Predictive Machine Learning,Smart Load Forecasting,MBZUAI,Joint R&D Lab,UAT & Testing,17.9,62100.0,40.9
REC-0172,EMP-19474,Water & Civil,AI Literacy,35.0,80.4,Autonomous IoT & Sensors,Autonomous Leak Detection,None,None,Fully Deployed,27.2,289000.0,88.0
REC-0173,EMP-68053,Power & Water Planning,Deep Technical & LLMOps,35.0,92.0,Predictive Machine Learning,Grid Expansion Planner,None,None,UAT & Testing,12.9,122500.0,14.7
REC-0174,EMP-31959,Water & Civil,Deep Technical & LLMOps,10.0,84.5,Computer Vision,Structural Crack Inspection,RIT Dubai,Joint R&D Lab,Development,12.5,57100.0,14.2
REC-0175,EMP-15530,Distribution Power,AI Literacy,41.5,83.2,Agentic AI Workflows,LV Power Restoration,None,None,Development,13.4,240000.0,12.3
REC-0176,EMP-13748,I&TF,Deep Technical & LLMOps,10.0,67.3,Generative AI (LLMs),Agentic IT Helpdesk,MBZUAI,Joint R&D Lab,Fully Deployed,28.5,47900.0,42.9
REC-0177,EMP-23545,Legal Affairs,AI Literacy,36.3,79.5,Generative AI (LLMs),NDA Auto-Review Agent,Heriot-Watt University,Reverse Hackathon,Ideation,5.6,17400.0,0.0
REC-0178,EMP-76199,Business Development & Execution,Deep Technical & LLMOps,10.0,78.6,Generative AI (LLMs),AI Bid Evaluator,MBZUAI,Reverse Hackathon,Development,7.8,41300.0,29.4
REC-0179,EMP-44766,Finance,Deep Technical & LLMOps,10.0,68.5,Agentic AI Workflows,Automated Audit Reconciliation,Heriot-Watt University,Joint R&D Lab,Development,14.9,52000.0,43.1
REC-0180,EMP-83530,Billing,Deep Technical & LLMOps,16.4,99.3,Predictive Machine Learning,Revenue Risk Profiler,MBZUAI,Joint R&D Lab,Development,10.4,45700.0,32.1
REC-0181,EMP-71087,Finance,Deep Technical & LLMOps,14.2,88.2,Predictive Machine Learning,Supplier Risk Analysis,Heriot-Watt University,Sponsored Capstone,Development,12.9,22500.0,22.9
REC-0182,EMP-78840,Distribution Power,AI for Leaders,41.3,57.1,Agentic AI Workflows,SCADA Fault Routing,Heriot-Watt University,Joint R&D Lab,Fully Deployed,33.3,51800.0,54.7
REC-0183,EMP-64384,Billing,AI Literacy,16.4,73.5,Predictive Machine Learning,Billing Anomaly Detection,RIT Dubai,Joint R&D Lab,Fully Deployed,20.2,118400.0,89.0
REC-0184,EMP-61005,Distribution Power,Deep Technical & LLMOps,10.0,79.7,Agentic AI Workflows,LV Power Restoration,None,None,UAT & Testing,23.3,42200.0,24.3
REC-0185,EMP-56576,Finance,AI Literacy,13.1,75.3,Agentic AI Workflows,Automated Audit Reconciliation,None,None,Development,9.6,29400.0,18.9
REC-0186,EMP-49353,Distribution Power,AI for Leaders,27.2,80.9,Agentic AI Workflows,LV Power Restoration,Heriot-Watt University,Sponsored Capstone,UAT & Testing,20.8,149500.0,17.3
REC-0187,EMP-72003,I&TF,AI Literacy,28.1,63.1,Generative AI (LLMs),AI Developer Copilot,RIT Dubai,Joint R&D Lab,UAT & Testing,14.4,29600.0,44.3
REC-0188,EMP-93211,Billing,AI Literacy,26.3,87.8,Generative AI (LLMs),Generative Bill Explanation,RIT Dubai,Joint R&D Lab,UAT & Testing,18.1,67700.0,11.0
REC-0189,EMP-62733,Legal Affairs,Deep Technical & LLMOps,43.3,90.4,Generative AI (LLMs),NDA Auto-Review Agent,None,None,Ideation,5.7,22900.0,0.0
REC-0190,EMP-75318,Transmission Power,AI Literacy,47.4,79.6,Computer Vision,Insulator Wear Classifier,None,None,Optimizing,25.5,98700.0,91.0
REC-0191,EMP-99474,Water & Civil,Deep Technical & LLMOps,34.7,91.2,Computer Vision,Reservoir Volumetric AI,None,None,UAT & Testing,15.9,255900.0,64.6
REC-0192,EMP-33664,Business Development & Execution,AI Literacy,21.3,79.1,Generative AI (LLMs),AI Procurement Sandbox,MBZUAI,Joint R&D Lab,Optimizing,32.8,42800.0,83.2
REC-0193,EMP-77172,I&TF,AI Literacy,18.4,92.6,Generative AI (LLMs),AI Developer Copilot,Heriot-Watt University,Sponsored Capstone,Ideation,4.7,42300.0,0.0
REC-0194,EMP-95616,Legal Affairs,AI for Leaders,62.8,79.5,Generative AI (LLMs),NDA Auto-Review Agent,RIT Dubai,Reverse Hackathon,Development,13.0,40100.0,14.6
REC-0195,EMP-36736,Business Development & Execution,AI Literacy,26.0,98.4,Generative AI (LLMs),AI Bid Evaluator,None,None,Ideation,4.3,5000.0,0.0
REC-0196,EMP-10854,I&TF,AI Literacy,31.4,68.1,Generative AI (LLMs),AI Developer Copilot,None,None,Fully Deployed,35.8,230700.0,78.9
REC-0197,EMP-48623,Power & Water Planning,Deep Technical & LLMOps,14.6,71.0,Predictive Machine Learning,Smart Load Forecasting,MBZUAI,Joint R&D Lab,Development,10.3,55700.0,12.5
REC-0198,EMP-17392,Billing,AI Literacy,14.7,65.9,Predictive Machine Learning,Billing Anomaly Detection,None,None,Fully Deployed,35.6,357900.0,88.2
REC-0199,EMP-65680,I&TF,Deep Technical & LLMOps,10.0,64.8,Generative AI (LLMs),AI Developer Copilot,RIT Dubai,Sponsored Capstone,Fully Deployed,26.6,34700.0,78.3
REC-0200,EMP-56717,Distribution Power,AI Literacy,25.0,84.3,Agentic AI Workflows,LV Power Restoration,Heriot-Watt University,Joint R&D Lab,Fully Deployed,28.3,49300.0,78.6
REC-0201,EMP-97092,Billing,AI Literacy,16.0,36.4,Predictive Machine Learning,Billing Anomaly Detection,None,None,Fully Deployed,36.4,219300.0,89.5
REC-0202,EMP-60859,Water & Civil,AI for Leaders,18.8,92.8,Autonomous IoT & Sensors,Autonomous Leak Detection,None,None,Fully Deployed,28.9,910700.0,80.1
REC-0203,EMP-36309,Business Development & Execution,AI Literacy,47.9,92.0,Generative AI (LLMs),Market Feasibility Generator,Heriot-Watt University,Sponsored Capstone,Fully Deployed,25.0,187700.0,67.6
REC-0204,EMP-97455,Legal Affairs,AI Literacy,10.0,60.0,Generative AI (LLMs),NDA Auto-Review Agent,RIT Dubai,Joint R&D Lab,Development,17.2,70800.0,3.3
REC-0205,EMP-73734,I&TF,AI Literacy,13.7,60.4,Generative AI (LLMs),AI Developer Copilot,None,None,Fully Deployed,31.8,64400.0,83.9
REC-0206,EMP-80467,Water & Civil,AI Literacy,27.8,85.2,Computer Vision,Reservoir Volumetric AI,None,None,Fully Deployed,34.8,102400.0,73.7
REC-0207,EMP-62662,Billing,Deep Technical & LLMOps,25.7,91.3,Predictive Machine Learning,Revenue Risk Profiler,None,None,Development,5.2,24000.0,21.8
REC-0208,EMP-22688,Power & Water Planning,AI for Leaders,54.7,86.1,Predictive Machine Learning,Grid Expansion Planner,RIT Dubai,Sponsored Capstone,Optimizing,40.0,221300.0,86.9
REC-0209,EMP-35342,Legal Affairs,Deep Technical & LLMOps,10.0,67.9,Generative AI (LLMs),NDA Auto-Review Agent,Heriot-Watt University,Reverse Hackathon,Ideation,10.3,20800.0,0.0
REC-0210,EMP-47157,Power & Water Planning,Deep Technical & LLMOps,50.6,69.4,Predictive Machine Learning,Smart Load Forecasting,None,None,Development,15.7,45800.0,2.7
REC-0211,EMP-77863,Distribution Power,AI for Leaders,10.0,92.7,Agentic AI Workflows,LV Power Restoration,None,None,Ideation,7.8,18700.0,0.0
REC-0212,EMP-62083,Billing,Deep Technical & LLMOps,18.1,82.2,Predictive Machine Learning,Revenue Risk Profiler,Heriot-Watt University,Reverse Hackathon,Ideation,4.2,9600.0,0.0
REC-0213,EMP-75733,Distribution Power,AI Literacy,10.0,85.0,Agentic AI Workflows,SCADA Fault Routing,None,None,Fully Deployed,33.5,341800.0,92.8
REC-0214,EMP-99045,Distribution Power,Deep Technical & LLMOps,10.0,61.2,Agentic AI Workflows,SCADA Fault Routing,None,None,Optimizing,34.9,74300.0,83.0
REC-0215,EMP-44698,Business Development & Execution,AI Literacy,49.4,82.1,Generative AI (LLMs),AI Bid Evaluator,Heriot-Watt University,Reverse Hackathon,Fully Deployed,27.8,367700.0,86.5
REC-0216,EMP-90623,Water & Civil,Deep Technical & LLMOps,11.9,95.4,Computer Vision,Reservoir Volumetric AI,MBZUAI,Joint R&D Lab,Optimizing,31.3,83500.0,78.8
REC-0217,EMP-32671,Power & Water Planning,AI for Leaders,36.6,94.7,Predictive Machine Learning,Grid Expansion Planner,None,None,Development,9.0,40000.0,5.3
REC-0218,EMP-35184,Water & Civil,AI for Leaders,15.2,62.9,Computer Vision,Structural Crack Inspection,None,None,Ideation,4.2,5000.0,0.0
REC-0219,EMP-52107,Legal Affairs,Deep Technical & LLMOps,55.5,88.6,Generative AI (LLMs),NDA Auto-Review Agent,None,None,UAT & Testing,23.4,118400.0,20.1
REC-0220,EMP-96202,Business Development & Execution,Deep Technical & LLMOps,16.2,73.2,Generative AI (LLMs),Market Feasibility Generator,None,None,Fully Deployed,21.4,131600.0,78.0
REC-0221,EMP-61663,Distribution Power,AI Literacy,20.1,84.3,Agentic AI Workflows,SCADA Fault Routing,Heriot-Watt University,Sponsored Capstone,Ideation,6.9,17800.0,0.0
REC-0222,EMP-25708,Distribution Power,AI Literacy,13.3,69.9,Agentic AI Workflows,LV Power Restoration,MBZUAI,Joint R&D Lab,Optimizing,22.5,37000.0,74.5
REC-0223,EMP-59811,Distribution Power,Deep Technical & LLMOps,10.0,54.0,Predictive Machine Learning,Grid Recloser Optimizer,None,None,Fully Deployed,32.3,131800.0,91.2
REC-0224,EMP-12811,Water & Civil,Deep Technical & LLMOps,39.1,98.2,Computer Vision,Reservoir Volumetric AI,Heriot-Watt University,Joint R&D Lab,Optimizing,32.9,204500.0,90.9
REC-0225,EMP-66250,Legal Affairs,Deep Technical & LLMOps,24.2,79.8,Generative AI (LLMs),Contract Compliance Parser,None,None,Development,13.7,17900.0,0.3
REC-0226,EMP-82082,Finance,Deep Technical & LLMOps,10.0,94.1,Agentic AI Workflows,Automated Audit Reconciliation,None,None,UAT & Testing,19.3,121000.0,61.5
REC-0227,EMP-44754,Finance,Deep Technical & LLMOps,56.2,80.9,Agentic AI Workflows,Invoice Matcher Agent,None,None,Fully Deployed,25.7,18900.0,76.9
REC-0228,EMP-21411,I&TF,Deep Technical & LLMOps,17.4,94.4,Generative AI (LLMs),AI Developer Copilot,RIT Dubai,Sponsored Capstone,Fully Deployed,33.1,107000.0,88.8
REC-0229,EMP-12911,Power & Water Planning,AI Literacy,10.0,83.0,Predictive Machine Learning,Digital Twin Simulation,None,None,Development,18.5,122200.0,49.1
REC-0230,EMP-77270,Water & Civil,AI Literacy,10.0,75.7,Autonomous IoT & Sensors,Autonomous Leak Detection,None,None,Optimizing,31.9,132800.0,96.8
REC-0231,EMP-93763,Transmission Power,Deep Technical & LLMOps,10.0,86.4,Computer Vision,Thermal Substations Inspection,None,None,Fully Deployed,26.7,66600.0,70.5
REC-0232,EMP-18680,Power & Water Planning,Deep Technical & LLMOps,31.6,77.0,Predictive Machine Learning,Grid Expansion Planner,None,None,Ideation,4.1,9400.0,0.0
REC-0233,EMP-94896,Distribution Power,AI Literacy,40.2,96.8,Agentic AI Workflows,SCADA Fault Routing,MBZUAI,Joint R&D Lab,Ideation,5.3,10700.0,0.0
REC-0234,EMP-93879,Billing,AI for Leaders,18.7,88.2,Predictive Machine Learning,Revenue Risk Profiler,MBZUAI,Sponsored Capstone,UAT & Testing,18.9,161800.0,56.0
REC-0235,EMP-81295,Finance,Deep Technical & LLMOps,82.1,94.1,Predictive Machine Learning,Supplier Risk Analysis,Heriot-Watt University,Sponsored Capstone,UAT & Testing,18.4,87600.0,26.4
REC-0236,EMP-98614,Billing,AI for Leaders,16.8,80.9,Generative AI (LLMs),Generative Bill Explanation,RIT Dubai,Reverse Hackathon,Fully Deployed,40.0,217900.0,91.3
REC-0237,EMP-21111,Finance,AI for Leaders,21.9,83.7,Agentic AI Workflows,Invoice Matcher Agent,None,None,Ideation,6.0,10600.0,0.0
REC-0238,EMP-47504,Transmission Power,AI for Leaders,10.0,77.4,Computer Vision,Thermal Substations Inspection,None,None,Fully Deployed,31.3,65000.0,78.7
REC-0239,EMP-11802,Billing,AI Literacy,20.8,97.9,Generative AI (LLMs),Generative Bill Explanation,None,None,Fully Deployed,31.3,38600.0,95.3
REC-0240,EMP-18155,Distribution Power,AI Literacy,43.4,96.9,Agentic AI Workflows,SCADA Fault Routing,None,None,Development,12.5,53200.0,32.8
REC-0241,EMP-83656,I&TF,AI Literacy,60.9,98.6,Generative AI (LLMs),AI Developer Copilot,MBZUAI,Reverse Hackathon,UAT & Testing,22.2,10900.0,20.2
REC-0242,EMP-49384,Distribution Power,AI Literacy,35.7,89.8,Predictive Machine Learning,Grid Recloser Optimizer,None,None,Development,15.8,9600.0,19.1
REC-0243,EMP-57254,Legal Affairs,Deep Technical & LLMOps,10.0,77.0,Generative AI (LLMs),NDA Auto-Review Agent,Heriot-Watt University,Reverse Hackathon,Ideation,4.2,5000.0,0.0
REC-0244,EMP-31918,Transmission Power,AI for Leaders,10.0,52.6,Computer Vision,Insulator Wear Classifier,MBZUAI,Sponsored Capstone,UAT & Testing,16.0,139900.0,58.9
REC-0245,EMP-95981,Water & Civil,Deep Technical & LLMOps,10.0,66.5,Computer Vision,Structural Crack Inspection,None,None,Optimizing,28.7,45000.0,93.5
REC-0246,EMP-70713,Power & Water Planning,Deep Technical & LLMOps,10.5,81.8,Predictive Machine Learning,Smart Load Forecasting,None,None,Development,9.4,57500.0,5.0
REC-0247,EMP-40306,Billing,AI Literacy,15.2,88.6,Predictive Machine Learning,Billing Anomaly Detection,None,None,Development,7.4,17300.0,10.5
REC-0248,EMP-26646,Distribution Power,Deep Technical & LLMOps,10.0,72.6,Agentic AI Workflows,SCADA Fault Routing,MBZUAI,Reverse Hackathon,Development,16.2,35100.0,31.0
REC-0249,EMP-56843,Power & Water Planning,AI for Leaders,34.9,92.0,Predictive Machine Learning,Digital Twin Simulation,None,None,Development,14.6,37600.0,22.2
REC-0250,EMP-26371,I&TF,Deep Technical & LLMOps,10.0,76.7,Generative AI (LLMs),AI Developer Copilot,RIT Dubai,Sponsored Capstone,UAT & Testing,10.9,69400.0,29.5
REC-0251,EMP-87371,Distribution Power,AI Literacy,29.7,80.9,Agentic AI Workflows,LV Power Restoration,MBZUAI,Joint R&D Lab,Fully Deployed,33.3,70600.0,89.7
REC-0252,EMP-12049,Finance,Deep Technical & LLMOps,39.5,74.1,Predictive Machine Learning,Supplier Risk Analysis,None,None,Ideation,4.2,5000.0,0.0
REC-0253,EMP-41616,Transmission Power,Deep Technical & LLMOps,18.3,94.6,Computer Vision,Overhead Line Monitoring,None,None,Optimizing,29.0,151300.0,66.9
REC-0254,EMP-30932,Power & Water Planning,AI Literacy,46.7,84.0,Predictive Machine Learning,Smart Load Forecasting,None,None,Ideation,0.0,15400.0,0.0
REC-0255,EMP-39855,Power & Water Planning,AI Literacy,31.3,86.6,Predictive Machine Learning,Digital Twin Simulation,None,None,Fully Deployed,31.8,204000.0,89.4
REC-0256,EMP-71434,Transmission Power,Deep Technical & LLMOps,14.5,61.9,Computer Vision,Overhead Line Monitoring,None,None,Fully Deployed,32.5,126500.0,78.9
REC-0257,EMP-82694,I&TF,Deep Technical & LLMOps,19.1,80.5,Agentic AI Workflows,Cognitive Cyber Defense,None,None,UAT & Testing,15.3,97000.0,32.6
REC-0258,EMP-53016,Transmission Power,AI for Leaders,14.1,59.1,Computer Vision,Overhead Line Monitoring,None,None,Ideation,8.2,5300.0,0.0
REC-0259,EMP-17400,I&TF,Deep Technical & LLMOps,38.2,94.6,Agentic AI Workflows,Cognitive Cyber Defense,None,None,UAT & Testing,23.2,113100.0,45.6
REC-0260,EMP-52642,Billing,AI for Leaders,33.3,92.5,Predictive Machine Learning,Billing Anomaly Detection,None,None,Fully Deployed,25.6,164800.0,95.3
REC-0261,EMP-25151,Business Development & Execution,Deep Technical & LLMOps,26.5,71.5,Generative AI (LLMs),Market Feasibility Generator,None,None,Fully Deployed,38.1,93300.0,54.3
REC-0262,EMP-61407,Business Development & Execution,AI Literacy,10.0,63.8,Generative AI (LLMs),Market Feasibility Generator,MBZUAI,Reverse Hackathon,UAT & Testing,18.1,82100.0,52.9
REC-0263,EMP-76690,Transmission Power,Deep Technical & LLMOps,12.9,92.8,Computer Vision,Insulator Wear Classifier,None,None,UAT & Testing,24.2,77300.0,52.8
REC-0264,EMP-14499,Billing,AI Literacy,10.4,86.7,Predictive Machine Learning,Revenue Risk Profiler,None,None,Fully Deployed,23.3,170700.0,90.7
REC-0265,EMP-16295,Distribution Power,AI Literacy,10.0,55.2,Agentic AI Workflows,LV Power Restoration,Heriot-Watt University,Sponsored Capstone,Optimizing,33.0,43100.0,99.1
REC-0266,EMP-69040,Finance,AI Literacy,10.0,71.0,Agentic AI Workflows,Invoice Matcher Agent,None,None,Fully Deployed,24.7,33900.0,97.4
REC-0267,EMP-22183,Power & Water Planning,AI Literacy,10.0,68.8,Predictive Machine Learning,Smart Load Forecasting,MBZUAI,Sponsored Capstone,Fully Deployed,27.0,35300.0,71.5
REC-0268,EMP-39299,Legal Affairs,AI for Leaders,19.1,88.3,Generative AI (LLMs),Regulatory Risk Analyzer,None,None,UAT & Testing,12.3,55300.0,42.1
REC-0269,EMP-22874,Water & Civil,AI Literacy,37.1,99.0,Computer Vision,Reservoir Volumetric AI,None,None,Fully Deployed,24.6,170500.0,78.5
REC-0270,EMP-42711,Legal Affairs,Deep Technical & LLMOps,14.9,53.3,Generative AI (LLMs),Contract Compliance Parser,RIT Dubai,Sponsored Capstone,Fully Deployed,24.6,19600.0,84.6
REC-0271,EMP-15539,I&TF,AI Literacy,19.2,87.3,Generative AI (LLMs),AI Developer Copilot,Heriot-Watt University,Sponsored Capstone,Fully Deployed,23.8,127700.0,77.9
REC-0272,EMP-63351,Water & Civil,AI for Leaders,20.9,77.2,Computer Vision,Structural Crack Inspection,None,None,Development,12.6,102600.0,20.4
REC-0273,EMP-71267,I&TF,AI Literacy,21.6,78.7,Generative AI (LLMs),Agentic IT Helpdesk,Heriot-Watt University,Reverse Hackathon,UAT & Testing,12.9,98300.0,42.6
REC-0274,EMP-58354,Business Development & Execution,AI Literacy,24.5,88.1,Generative AI (LLMs),AI Procurement Sandbox,Heriot-Watt University,Reverse Hackathon,UAT & Testing,21.2,15700.0,7.3
REC-0275,EMP-12557,Transmission Power,AI Literacy,46.7,89.9,Computer Vision,Thermal Substations Inspection,Heriot-Watt University,Reverse Hackathon,Development,15.0,59900.0,0.7
REC-0276,EMP-48360,Business Development & Execution,AI for Leaders,18.8,76.3,Generative AI (LLMs),AI Procurement Sandbox,None,None,Development,9.3,47900.0,5.6
REC-0277,EMP-92018,Distribution Power,AI for Leaders,47.7,93.3,Agentic AI Workflows,SCADA Fault Routing,None,None,Fully Deployed,31.5,90100.0,86.5
REC-0278,EMP-12200,Transmission Power,AI for Leaders,23.1,88.2,Computer Vision,Overhead Line Monitoring,None,None,UAT & Testing,18.7,91300.0,66.7
REC-0279,EMP-78497,Business Development & Execution,AI for Leaders,20.2,93.4,Generative AI (LLMs),Market Feasibility Generator,None,None,Ideation,4.2,5000.0,0.0
REC-0280,EMP-56975,Billing,Deep Technical & LLMOps,71.1,94.9,Predictive Machine Learning,Billing Anomaly Detection,None,None,Fully Deployed,16.7,123400.0,57.5
REC-0281,EMP-31357,I&TF,AI Literacy,39.2,92.5,Generative AI (LLMs),AI Developer Copilot,None,None,Fully Deployed,25.2,173700.0,84.0
REC-0282,EMP-87505,Water & Civil,AI for Leaders,10.0,71.1,Computer Vision,Structural Crack Inspection,Heriot-Watt University,Sponsored Capstone,UAT & Testing,25.8,45400.0,24.8
REC-0283,EMP-12869,Legal Affairs,Deep Technical & LLMOps,30.8,97.1,Generative AI (LLMs),Regulatory Risk Analyzer,None,None,Development,13.0,27100.0,30.8
REC-0284,EMP-71135,Legal Affairs,AI for Leaders,10.0,82.2,Generative AI (LLMs),Contract Compliance Parser,None,None,Optimizing,30.6,94000.0,84.3
REC-0285,EMP-60108,Power & Water Planning,Deep Technical & LLMOps,23.1,56.8,Predictive Machine Learning,Smart Load Forecasting,None,None,Fully Deployed,19.9,81000.0,70.3
REC-0286,EMP-48467,Transmission Power,AI for Leaders,10.0,77.0,Computer Vision,Thermal Substations Inspection,MBZUAI,Joint R&D Lab,Development,13.8,20300.0,3.1
REC-0287,EMP-33328,Legal Affairs,Deep Technical & LLMOps,27.3,89.4,Generative AI (LLMs),NDA Auto-Review Agent,MBZUAI,Sponsored Capstone,Ideation,3.2,5300.0,0.0
REC-0288,EMP-96831,Water & Civil,Deep Technical & LLMOps,54.9,89.3,Computer Vision,Reservoir Volumetric AI,RIT Dubai,Joint R&D Lab,UAT & Testing,15.1,119300.0,28.9
REC-0289,EMP-13987,Distribution Power,AI for Leaders,30.8,72.6,Agentic AI Workflows,SCADA Fault Routing,RIT Dubai,Reverse Hackathon,Fully Deployed,25.2,29400.0,78.0
REC-0290,EMP-68871,Legal Affairs,Deep Technical & LLMOps,17.6,81.9,Generative AI (LLMs),Regulatory Risk Analyzer,None,None,Development,13.5,45700.0,10.4
REC-0291,EMP-32399,Power & Water Planning,AI Literacy,14.6,54.5,Predictive Machine Learning,Grid Expansion Planner,MBZUAI,Sponsored Capstone,UAT & Testing,19.7,119200.0,48.2
REC-0292,EMP-56214,Transmission Power,AI Literacy,51.5,94.1,Computer Vision,Thermal Substations Inspection,None,None,UAT & Testing,23.5,26800.0,44.1
REC-0293,EMP-96416,Billing,Deep Technical & LLMOps,29.6,87.7,Generative AI (LLMs),Generative Bill Explanation,RIT Dubai,Sponsored Capstone,Fully Deployed,38.8,111400.0,63.8
REC-0294,EMP-80271,Legal Affairs,Deep Technical & LLMOps,48.2,99.2,Generative AI (LLMs),NDA Auto-Review Agent,RIT Dubai,Reverse Hackathon,UAT & Testing,17.0,37900.0,53.0
REC-0295,EMP-54064,Legal Affairs,AI Literacy,36.2,92.5,Generative AI (LLMs),Regulatory Risk Analyzer,None,None,UAT & Testing,19.8,196000.0,55.3
REC-0296,EMP-80091,Legal Affairs,AI Literacy,19.4,75.3,Generative AI (LLMs),Regulatory Risk Analyzer,RIT Dubai,Sponsored Capstone,Optimizing,30.2,125600.0,85.3
REC-0297,EMP-50818,I&TF,AI Literacy,25.9,77.2,Generative AI (LLMs),AI Developer Copilot,None,None,Development,7.9,128300.0,11.2
REC-0298,EMP-55525,Business Development & Execution,AI Literacy,59.3,96.7,Generative AI (LLMs),AI Procurement Sandbox,MBZUAI,Joint R&D Lab,Development,8.3,113700.0,13.9
REC-0299,EMP-29830,Business Development & Execution,Deep Technical & LLMOps,21.8,91.1,Generative AI (LLMs),Market Feasibility Generator,Heriot-Watt University,Joint R&D Lab,Fully Deployed,31.0,151500.0,90.3
REC-0300,EMP-27429,Billing,Deep Technical & LLMOps,14.1,69.6,Predictive Machine Learning,Revenue Risk Profiler,None,None,Development,11.8,219200.0,22.7
REC-0301,EMP-16893,Business Development & Execution,AI Literacy,12.8,75.3,Generative AI (LLMs),Market Feasibility Generator,None,None,Fully Deployed,31.7,33600.0,57.1
REC-0302,EMP-89909,Power & Water Planning,AI for Leaders,37.0,97.8,Predictive Machine Learning,Smart Load Forecasting,RIT Dubai,Joint R&D Lab,Ideation,4.9,31400.0,0.0
REC-0303,EMP-57333,Distribution Power,AI Literacy,15.6,84.4,Predictive Machine Learning,Grid Recloser Optimizer,Heriot-Watt University,Sponsored Capstone,Ideation,3.4,8000.0,0.0
REC-0304,EMP-13436,Billing,AI Literacy,18.1,77.8,Generative AI (LLMs),Generative Bill Explanation,None,None,Optimizing,44.7,133800.0,92.5
REC-0305,EMP-84290,Water & Civil,Deep Technical & LLMOps,42.3,89.3,Computer Vision,Reservoir Volumetric AI,None,None,UAT & Testing,20.9,54600.0,24.9
REC-0306,EMP-86213,Power & Water Planning,Deep Technical & LLMOps,10.0,94.2,Predictive Machine Learning,Digital Twin Simulation,None,None,Fully Deployed,28.5,37100.0,71.2
REC-0307,EMP-15895,Transmission Power,Deep Technical & LLMOps,24.3,84.3,Computer Vision,Thermal Substations Inspection,Heriot-Watt University,Sponsored Capstone,Development,13.2,62300.0,6.2
REC-0308,EMP-29738,Finance,AI Literacy,46.2,92.9,Predictive Machine Learning,Supplier Risk Analysis,None,None,Development,9.4,14600.0,19.9
REC-0309,EMP-40746,Transmission Power,Deep Technical & LLMOps,27.1,79.9,Computer Vision,Overhead Line Monitoring,MBZUAI,Joint R&D Lab,Fully Deployed,32.2,73800.0,59.3
